n_jobs;ThreadPoolExecutor;ProcessPoolExecutor
1;0.0072362422943115234;0.3462190628051758
2;0.0059931278228759766;0.33055806159973145
3;0.006729841232299805;0.39843320846557617
4;0.011443138122558594;0.4806375503540039
5;0.01215505599975586;0.5243334770202637
6;0.01270604133605957;0.6846809387207031
7;0.014765501022338867;0.7182669639587402
8;0.022411823272705078;0.7881209850311279
